station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
Fordham Rd/Grand Concource,2,56,94,39,4,2,0,4,75,106,0,12,15,182,0,197
"B,D",2,56,94,39,4,2,0,4,75,106,0,12,15,182,0,197
FORDHAM ROAD,2,22,65,32,1,0,0,3,39,69,3,8,6,116,0,122
4,2,22,65,32,1,0,0,3,39,69,3,8,6,116,0,122
FREEMAN STREET,0,5,14,4,1,0,0,2,12,10,0,0,0,24,0,24
"2,5",0,5,14,4,1,0,0,2,12,10,0,0,0,24,0,24
GUN HILL ROAD,3,33,74,26,2,0,0,3,81,50,1,3,13,125,0,138
"2,5",3,30,70,22,2,0,0,3,76,46,0,2,8,119,0,127
5,0,3,4,4,0,0,0,0,5,4,1,1,5,6,0,11
HUNTS POINT AVENUE,4,56,79,24,0,0,1,2,60,91,6,3,15,146,2,163
6,4,56,79,24,0,0,1,2,60,91,6,3,15,146,2,163
INTERVALE AVENUE,0,19,25,7,0,0,0,1,22,22,1,5,6,45,0,51
"2,5",0,19,25,7,0,0,0,1,22,22,1,5,6,45,0,51
JACKSON AVENUE,1,17,31,5,0,0,0,0,20,32,0,2,6,48,0,54
"2,5",1,17,31,5,0,0,0,0,20,32,0,2,6,48,0,54
KINGSBRIDGE ROAD,2,20,32,20,0,0,0,2,23,46,2,1,5,69,0,74
4,0,7,12,4,0,0,0,0,6,16,1,0,1,22,0,23
"B,D",2,13,20,16,0,0,0,2,17,30,1,1,4,47,0,51
LONGWOOD AVENUE,0,6,5,0,0,0,0,1,3,7,0,0,1,10,0,11
6,0,6,5,0,0,0,0,1,3,7,0,0,1,10,0,11
MIDDLETOWN ROAD,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,2
6,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,2
MORRIS PARK,0,1,3,1,0,0,0,0,2,2,0,1,1,4,0,5
5,0,1,3,1,0,0,0,0,2,2,0,1,1,4,0,5
MOSHOLU PKWY.,0,5,7,1,0,0,0,0,7,6,0,0,1,12,0,13
4,0,5,7,1,0,0,0,0,7,6,0,0,1,12,0,13
MT. EDEN AVENUE,0,24,45,21,2,1,0,3,27,59,0,4,14,79,0,93
4,0,24,45,21,2,1,0,3,27,59,0,4,14,79,0,93
OFF-SYSTEM,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,2
OFF-SYSTEM,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,2
PELHAM BAY PARK,0,1,2,1,0,0,0,0,0,4,0,0,2,2,0,4
6,0,1,2,1,0,0,0,0,0,4,0,0,2,2,0,4
PELHAM PKWY.,0,7,17,1,2,0,0,1,14,10,1,1,4,22,1,27
"2,5",0,5,14,1,2,0,0,1,11,9,1,0,2,19,1,22
5,0,2,3,0,0,0,0,0,3,1,0,1,2,3,0,5
PROSPECT AVENUE,0,20,32,13,0,0,0,0,33,28,0,4,13,52,0,65
"2,5",0,20,32,13,0,0,0,0,33,28,0,4,13,52,0,65
SIMPSON STREET,2,19,39,16,1,0,0,4,42,28,2,1,4,73,0,77
"2,5",2,19,39,16,1,0,0,4,42,28,2,1,4,73,0,77
SOUNDVIEW AVENUE,2,33,44,12,0,0,0,0,34,54,1,2,13,78,0,91
6,2,33,44,12,0,0,0,0,34,54,1,2,13,78,0,91
ST. LAWRENCE AVENUE,0,8,14,8,0,0,0,5,6,19,0,0,6,24,0,30
6,0,8,14,8,0,0,0,5,6,19,0,0,6,24,0,30
TREMONT AVENUE,1,28,48,28,0,0,0,3,37,61,0,4,8,97,0,105
"B,D",1,28,48,28,0,0,0,3,37,61,0,4,8,97,0,105
WHITLOCK AVENUE,0,3,6,3,0,0,0,0,1,10,1,0,3,9,0,12
6,0,3,6,3,0,0,0,0,1,10,1,0,3,9,0,12
WOODLAWN,0,28,35,23,1,0,0,1,33,40,2,11,7,80,0,87
4,0,28,35,23,1,0,0,1,33,40,2,11,7,80,0,87
ZEREGA AVENUE,0,3,1,1,0,0,0,0,2,3,0,0,0,5,0,5
6,0,3,1,1,0,0,0,0,2,3,0,0,0,5,0,5
15 ST.-PROSPECT PARK,0,2,3,1,0,0,0,0,0,1,0,5,3,3,0,6
"F,G",0,2,3,1,0,0,0,0,0,1,0,5,3,3,0,6
18 AVENUE,0,3,5,3,0,0,0,3,1,6,0,1,3,8,0,11
D,0,1,4,1,0,0,0,2,1,3,0,0,2,4,0,6
F,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
N,0,2,1,1,0,0,0,1,0,2,0,1,1,3,0,4
20 AVENUE,0,13,29,3,0,0,0,7,0,25,4,9,9,36,0,45
D,0,11,18,2,0,0,0,2,0,19,3,7,5,26,0,31
N,0,2,11,1,0,0,0,5,0,6,1,2,4,10,0,14
25 AVENUE,0,0,3,0,0,0,0,1,0,1,0,1,0,3,0,3
D,0,0,3,0,0,0,0,1,0,1,0,1,0,3,0,3
25 STREET,0,0,6,3,0,1,0,0,3,6,0,1,1,9,0,10
R,0,0,6,3,0,1,0,0,3,6,0,1,1,9,0,10
36 STREET,0,13,27,11,0,0,0,2,10,30,0,9,8,43,0,51
"D,N,R",0,13,27,11,0,0,0,2,10,30,0,9,8,43,0,51
4 AVENUE-9 STREET,0,23,42,13,3,0,0,8,16,28,4,25,18,62,1,81
"F,G",0,23,42,13,3,0,0,8,16,28,4,25,18,62,1,81
45 STREET,0,6,5,3,0,0,0,0,3,10,0,1,1,13,0,14
R,0,6,5,3,0,0,0,0,3,10,0,1,1,13,0,14
50 STREET,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
D,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
53 STREET,0,7,22,13,1,0,0,3,19,18,1,2,3,40,0,43
R,0,7,22,13,1,0,0,3,19,18,1,2,3,40,0,43
55 STREET,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
D,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
59 STREET,1,10,12,10,0,0,0,5,5,18,1,4,2,31,0,33
"N,R",1,10,12,10,0,0,0,5,5,18,1,4,2,31,0,33
62 STREET,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,2
D,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,2
7 AVENUE,1,9,23,11,0,0,0,2,4,20,3,15,8,36,0,44
"F,G",1,9,23,11,0,0,0,2,4,20,3,15,8,36,0,44
71 STREET,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
D,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
77 STREET,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,2
R,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,2
79 STREET,0,1,11,7,0,0,0,3,0,10,1,5,8,11,0,19
D,0,1,11,7,0,0,0,3,0,10,1,5,8,11,0,19
7TH AVENUE,2,2,5,2,0,0,0,0,1,5,0,5,3,8,0,11
"B,Q",2,2,5,2,0,0,0,0,1,5,0,5,3,8,0,11
8 AVENUE,0,2,8,5,1,0,0,7,1,6,1,1,3,13,0,16
N,0,2,8,5,1,0,0,7,1,6,1,1,3,13,0,16
86 STREET,0,7,5,7,2,0,0,5,1,12,1,2,2,19,0,21
N,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
R,0,7,5,6,2,0,0,5,0,12,1,2,2,18,0,20
9 AVENUE,0,0,2,6,0,0,1,2,1,4,0,0,2,6,0,8
D,0,0,2,6,0,0,1,2,1,4,0,0,2,6,0,8
9TH STREET,1,3,2,0,0,0,0,0,0,4,0,2,2,4,0,6
R,1,3,2,0,0,0,0,0,0,4,0,2,2,4,0,6
ALABAMA AVENUE,0,1,7,5,0,0,0,0,7,5,0,1,2,11,0,13
J,0,1,7,5,0,0,0,0,7,5,0,1,2,11,0,13
ATLANTIC AVENUE,3,51,99,29,2,0,0,12,85,41,4,42,48,136,0,184
"2,3,4,5",2,36,73,19,2,0,0,11,64,30,2,25,42,90,0,132
"B,Q",0,7,20,5,0,0,0,1,11,5,1,14,5,27,0,32
L,1,8,6,5,0,0,0,0,10,6,1,3,1,19,0,20
"AVENUE ""H""",0,0,2,1,0,0,0,0,2,1,0,0,0,3,0,3
Q,0,0,2,1,0,0,0,0,2,1,0,0,0,3,0,3
