Station,10-17,18-24,25-40,41-59,60+,Unknown,Total
QUEENS PLAZA,0,9,14,2,2,0,27
QUEENSBORO PLAZA,1,17,26,8,0,0,52
ROCKAWAY BLVD.,3,34,44,18,2,0,101
ROCKAWAY PARK-BEACH 116 ST.,0,2,0,0,0,0,2
ROOSEVELT AVE.-JACKSON HEIGHTS,5,191,338,166,10,0,710
ROOSEVELT ISLAND,0,0,1,0,0,0,1
STEINWAY ST.,0,10,18,5,0,0,33
SUTPHIN BLVD.,2,16,56,24,4,1,103
SUTPHIN BLVD.-ARCHER AVE.,0,35,109,42,7,0,193
UNION TURNPIKE-KEW GARDENS,4,63,65,32,2,0,166
VAN WYCK BLVD.-BRIARWOOD,1,4,15,3,1,0,24
VERNON BLVD.-JACKSON AVE.,0,0,1,1,0,0,2
WILLETS POINT-SHEA STADIUM,1,14,14,9,1,0,39
WOODHAVEN BLVD.,4,70,106,40,0,1,221
