Borough/Station/Line, 10-17, 18-24,	25-40,	41-59,	60+, 	Unknown,	Grand Total, Occurences

137 ST.-CITY COLLEGE,0,	44,	63,	16,	1,	0,	124, 16034
8 ST.-NYU,	0,	14,	7,	2,	0,	0,	23, 16634


